Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5916000,Herne,17,11,3,17.6,0,0,16,94.1,20,19,1,10,50.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",3254021,Hildesheim,17,17,2,11.8,0,0,16,94.1,15,15,0,3,20.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",9161000,Ingolstadt,20,15,1,5.0,0,0,19,95.0,21,21,0,11,52.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",16053000,Jena,11,10,0,0.0,0,0,9,81.8,7,7,0,2,28.6,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",7312000,Kaiserslautern,10,10,0,0.0,0,0,10,100.0,10,10,0,2,20.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",8212000,Karlsruhe,39,13,2,5.1,0,0,37,94.9,37,37,0,12,32.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",6611000,Kassel,44,22,3,6.8,1,0,38,86.4,42,42,0,19,45.2,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",1002000,Kiel,37,15,5,13.5,0,0,34,91.9,35,35,0,13,37.1,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",7111000,Koblenz,17,15,2,11.8,0,0,16,94.1,16,15,1,5,31.3,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5315000,Köln,223,21,29,13.0,2,0,167,74.9,182,175,7,89,48.9,2021
