Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,4012000,Bremerhaven,W,"1,504",1,2,7,14,33,57,81,50,131,119,307,96,87,183,238,322,257,133,64,"1,197",2016
------,Straftaten insgesamt,14511000,Chemnitz,W,"2,878",87,29,26,28,54,224,129,119,248,216,688,155,151,306,451,678,362,205,188,"2,190",2016
------,Straftaten insgesamt,6411000,Darmstadt,W,"1,292",2,0,2,2,27,33,63,79,142,143,318,89,51,140,167,250,191,139,87,974,2016
------,Straftaten insgesamt,5913000,Dortmund,W,"5,829",5,7,24,50,110,196,308,334,642,581,"1,419",359,367,726,810,"1,202",805,499,368,"4,410",2016
------,Straftaten insgesamt,14612000,Dresden,W,"4,880",120,39,36,60,92,347,212,187,399,407,"1,153",220,258,478,738,"1,076",573,435,427,"3,727",2016
------,Straftaten insgesamt,5112000,Duisburg,W,"4,790",0,7,15,64,120,206,218,249,467,426,"1,099",288,298,586,702,971,706,411,315,"3,691",2016
------,Straftaten insgesamt,5111000,Duesseldorf,W,"7,080",161,49,45,65,144,464,367,342,709,578,"1,751",396,392,788,940,"1,406",987,658,550,"5,329",2016
------,Straftaten insgesamt,16051000,Erfurt,W,"2,441",22,4,14,27,47,114,118,106,224,196,534,130,137,267,387,551,299,221,182,"1,907",2016
------,Straftaten insgesamt,9562000,Erlangen,W,714,0,1,0,4,18,23,23,36,59,71,153,51,35,86,113,129,99,75,59,561,2016
------,Straftaten insgesamt,5113000,Essen,W,"5,800",4,8,3,51,133,199,352,308,660,542,"1,401",390,377,767,864,"1,136",798,493,341,"4,399",2016
------,Straftaten insgesamt,6412000,Frankfurt am Main,W,"13,057",153,40,38,59,146,436,333,487,820,910,"2,166",744,723,"1,467","1,966","2,792","1,885","1,403","1,378","10,891",2016
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,W,"2,716",5,4,8,15,80,112,159,177,336,310,758,193,193,386,373,466,309,231,193,"1,958",2016
------,Straftaten insgesamt,9563000,Fuerth,W,793,1,1,1,6,20,29,44,36,80,68,177,37,33,70,108,167,113,76,82,616,2016
------,Straftaten insgesamt,5513000,Gelsenkirchen,W,"2,477",3,5,12,41,89,150,157,127,284,191,625,134,132,266,335,487,378,245,141,"1,852",2016
------,Straftaten insgesamt,3152012,Goettingen,W,"1,189",1,2,2,8,35,48,71,44,115,100,263,72,64,136,144,245,168,129,104,926,2016
------,Straftaten insgesamt,5914000,Hagen,W,"1,754",1,1,7,24,59,92,122,109,231,156,479,91,102,193,231,322,235,172,122,"1,275",2016
------,Straftaten insgesamt,15002000,Halle (Saale),W,"2,571",1,6,14,35,56,112,109,95,204,230,546,137,145,282,405,572,327,261,178,"2,025",2016
------,Straftaten insgesamt,2000000,Hamburg,W,"16,793",175,80,82,144,342,823,786,882,"1,668","1,260","3,751",909,870,"1,779","2,268","3,655","2,494","1,660","1,186","13,042",2016
------,Straftaten insgesamt,5915000,Hamm,W,"1,444",1,1,2,12,45,61,72,91,163,106,330,100,83,183,203,303,213,112,100,"1,114",2016
------,Straftaten insgesamt,3241001,Hannover,W,"7,961",52,20,42,69,152,335,358,442,800,805,"1,940",525,494,"1,019","1,070","1,616","1,085",694,537,"6,021",2016
------,Straftaten insgesamt,8221000,Heidelberg,W,"1,568",8,1,3,14,37,63,88,89,177,158,398,99,108,207,215,276,196,163,113,"1,170",2016
------,Straftaten insgesamt,8121000,Heilbronn,W,"1,032",0,0,0,4,30,34,55,73,128,92,254,63,59,122,137,212,145,102,60,778,2016
------,Straftaten insgesamt,5916000,Herne,W,"1,304",0,1,8,11,41,61,62,78,140,109,310,82,59,141,149,259,215,127,103,994,2016
------,Straftaten insgesamt,3254021,Hildesheim,W,"1,011",0,1,7,6,29,43,51,49,100,103,246,58,55,113,120,199,148,98,87,765,2016
------,Straftaten insgesamt,9161000,Ingolstadt,W,"1,168",1,0,4,11,21,37,45,59,104,110,251,63,62,125,137,238,195,127,95,917,2016
------,Straftaten insgesamt,16053000,Jena,W,787,0,0,4,7,29,40,44,38,82,56,178,46,38,84,97,146,117,76,89,609,2016
------,Straftaten insgesamt,8212000,Karlsruhe,W,"2,932",13,10,3,10,55,91,137,176,313,329,733,211,194,405,406,553,368,276,191,"2,199",2016
------,Straftaten insgesamt,6611000,Kassel,W,"1,912",15,8,4,11,43,81,89,109,198,173,452,104,123,227,272,379,271,190,121,"1,460",2016
------,Straftaten insgesamt,1002000,Kiel,W,"2,352",57,16,22,15,44,154,110,112,222,199,575,153,144,297,308,466,347,224,135,"1,777",2016
------,Straftaten insgesamt,7111000,Koblenz,W,"1,217",0,2,1,4,24,31,49,64,113,127,271,66,78,144,167,241,168,132,94,946,2016
------,Straftaten insgesamt,5315000,Koeln,W,"12,951",200,58,84,133,256,731,619,680,"1,299","1,147","3,177",755,800,"1,555","1,795","2,647","1,860","1,154",763,"9,774",2016
------,Straftaten insgesamt,5114000,Krefeld,W,"2,476",1,2,8,31,63,105,143,160,303,235,643,125,148,273,334,477,354,226,169,"1,833",2016
------,Straftaten insgesamt,14713000,Leipzig,W,"6,871",243,84,87,110,154,678,264,264,528,483,"1,689",376,408,784,"1,129","1,485",765,554,465,"5,182",2016
------,Straftaten insgesamt,5316000,Leverkusen,W,"1,258",0,4,2,13,29,48,59,61,120,104,272,66,76,142,171,245,230,126,72,986,2016
------,Straftaten insgesamt,1003000,Luebeck,W,"2,504",1,3,6,30,49,89,111,129,240,201,530,120,138,258,348,514,384,249,221,"1,974",2016
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,W,"2,127",0,5,10,18,39,72,115,94,209,204,485,128,126,254,293,427,320,207,141,"1,642",2016
------,Straftaten insgesamt,15003000,Magdeburg,W,"2,388",5,5,8,24,66,108,109,89,198,156,462,113,129,242,378,497,314,265,230,"1,926",2016
------,Straftaten insgesamt,7315000,Mainz,W,"2,019",1,2,5,4,22,34,93,114,207,194,435,139,136,275,270,368,332,195,144,"1,584",2016
