Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,5512000,Bottrop,vers.,93,57,36,3,2,1,7,4,3,10,6,4,7,5,2,9,7,2,61,34,27,6,5,1,67,39,28,2016
------,Straftaten insgesamt,3101000,Braunschweig,vers.,352,248,104,3,2,1,5,4,1,8,6,2,13,7,6,19,8,11,295,216,79,17,11,6,312,227,85,2016
------,Straftaten insgesamt,4011000,Bremen,vers.,761,495,266,9,7,2,35,20,15,44,27,17,77,47,30,61,37,24,510,352,158,69,32,37,579,384,195,2016
------,Straftaten insgesamt,4012000,Bremerhaven,vers.,154,100,54,1,0,1,8,5,3,9,5,4,14,8,6,13,7,6,106,76,30,12,4,8,118,80,38,2016
------,Straftaten insgesamt,14511000,Chemnitz,vers.,220,138,82,3,2,1,12,5,7,15,7,8,17,9,8,6,4,2,158,106,52,24,12,12,182,118,64,2016
------,Straftaten insgesamt,6411000,Darmstadt,vers.,85,51,34,0,0,0,1,0,1,1,0,1,6,3,3,10,5,5,56,36,20,12,7,5,68,43,25,2016
------,Straftaten insgesamt,5913000,Dortmund,vers.,758,530,228,4,1,3,26,20,6,30,21,9,54,40,14,42,27,15,580,410,170,52,32,20,632,442,190,2016
------,Straftaten insgesamt,14612000,Dresden,vers.,471,352,119,3,3,0,9,5,4,12,8,4,28,18,10,31,23,8,384,294,90,16,9,7,400,303,97,2016
------,Straftaten insgesamt,5112000,Duisburg,vers.,676,437,239,4,1,3,42,25,17,46,26,20,45,29,16,43,26,17,492,331,161,50,25,25,542,356,186,2016
------,Straftaten insgesamt,5111000,Duesseldorf,vers.,641,398,243,2,2,0,21,10,11,23,12,11,27,14,13,48,26,22,495,322,173,48,24,24,543,346,197,2016
------,Straftaten insgesamt,16051000,Erfurt,vers.,350,254,96,1,0,1,17,7,10,18,7,11,35,23,12,30,25,5,238,182,56,29,17,12,267,199,68,2016
------,Straftaten insgesamt,9562000,Erlangen,vers.,117,86,31,1,0,1,2,1,1,3,1,2,5,3,2,9,5,4,92,72,20,8,5,3,100,77,23,2016
------,Straftaten insgesamt,5113000,Essen,vers.,437,285,152,4,3,1,29,18,11,33,21,12,27,14,13,37,22,15,310,214,96,30,14,16,340,228,112,2016
------,Straftaten insgesamt,6412000,Frankfurt am Main,vers.,951,641,310,7,5,2,22,13,9,29,18,11,46,29,17,67,40,27,743,516,227,66,38,28,809,554,255,2016
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,vers.,434,318,116,2,2,0,19,10,9,21,12,9,25,18,7,47,36,11,312,234,78,29,18,11,341,252,89,2016
------,Straftaten insgesamt,9563000,Fuerth,vers.,122,89,33,1,0,1,5,1,4,6,1,5,8,3,5,5,4,1,90,69,21,13,12,1,103,81,22,2016
------,Straftaten insgesamt,5513000,Gelsenkirchen,vers.,315,198,117,3,1,2,17,10,7,20,11,9,28,15,13,33,22,11,208,137,71,26,13,13,234,150,84,2016
------,Straftaten insgesamt,3152012,Goettingen,vers.,235,152,83,2,1,1,8,5,3,10,6,4,10,10,0,25,18,7,178,111,67,12,7,5,190,118,72,2016
------,Straftaten insgesamt,5914000,Hagen,vers.,136,79,57,0,0,0,7,6,1,7,6,1,11,2,9,8,4,4,97,60,37,13,7,6,110,67,43,2016
------,Straftaten insgesamt,15002000,Halle (Saale),vers.,394,278,116,4,1,3,18,6,12,22,7,15,15,11,4,17,10,7,315,232,83,25,18,7,340,250,90,2016
------,Straftaten insgesamt,2000000,Hamburg,vers.,2246,1512,734,12,7,5,62,38,24,74,45,29,179,102,77,177,120,57,1689,1169,520,127,76,51,1816,1245,571,2016
------,Straftaten insgesamt,5915000,Hamm,vers.,144,92,52,2,2,0,9,6,3,11,8,3,14,9,5,13,7,6,98,61,37,8,7,1,106,68,38,2016
------,Straftaten insgesamt,3241001,Hannover,vers.,1223,889,334,7,1,6,26,11,15,33,12,21,49,28,21,85,56,29,1007,761,246,49,32,17,1056,793,263,2016
------,Straftaten insgesamt,8221000,Heidelberg,vers.,180,135,45,1,1,0,6,2,4,7,3,4,2,0,2,10,9,1,154,120,34,7,3,4,161,123,38,2016
------,Straftaten insgesamt,8121000,Heilbronn,vers.,83,60,23,0,0,0,5,2,3,5,2,3,3,1,2,6,4,2,64,48,16,5,5,0,69,53,16,2016
------,Straftaten insgesamt,5916000,Herne,vers.,198,119,79,1,1,0,8,7,1,9,8,1,16,10,6,17,8,9,138,84,54,18,9,9,156,93,63,2016
------,Straftaten insgesamt,3254021,Hildesheim,vers.,161,100,61,2,0,2,10,4,6,12,4,8,9,7,2,29,18,11,104,65,39,7,6,1,111,71,40,2016
------,Straftaten insgesamt,9161000,Ingolstadt,vers.,228,155,73,0,0,0,11,6,5,11,6,5,11,7,4,24,14,10,173,125,48,9,3,6,182,128,54,2016
------,Straftaten insgesamt,16053000,Jena,vers.,117,80,37,2,2,0,1,0,1,3,2,1,11,8,3,8,6,2,92,62,30,3,2,1,95,64,31,2016
