Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,vers.,330,247,83,4,4,0,3,1,2,7,5,2,21,13,8,23,15,8,257,201,56,22,13,9,279,214,65,2019
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,insg.,4469,3040,1429,46,31,15,153,84,69,199,115,84,335,207,128,420,292,128,3303,2290,1013,212,136,76,3515,2426,1089,2019
------,Straftaten insgesamt,9563000,F rth,voll.,879,499,380,10,6,4,50,27,23,60,33,27,88,44,44,82,46,36,599,342,257,50,34,16,649,376,273,2019
------,Straftaten insgesamt,9563000,F rth,vers.,68,43,25,0,0,0,2,2,0,2,2,0,6,2,4,4,2,2,48,33,15,8,4,4,56,37,19,2019
------,Straftaten insgesamt,9563000,F rth,insg.,947,542,405,10,6,4,52,29,23,62,35,27,94,46,48,86,48,38,647,375,272,58,38,20,705,413,292,2019
------,Straftaten insgesamt,5513000,Gelsenkirchen,voll.,4651,2519,2132,60,36,24,335,173,162,395,209,186,416,229,187,318,166,152,3262,1763,1499,260,152,108,3522,1915,1607,2019
------,Straftaten insgesamt,5513000,Gelsenkirchen,vers.,221,129,92,3,1,2,19,11,8,22,12,10,24,17,7,15,10,5,141,79,62,19,11,8,160,90,70,2019
------,Straftaten insgesamt,5513000,Gelsenkirchen,insg.,4872,2648,2224,63,37,26,354,184,170,417,221,196,440,246,194,333,176,157,3403,1842,1561,279,163,116,3682,2005,1677,2019
------,Straftaten insgesamt,3159016,G ttingen,voll.,2138,1374,764,22,9,13,81,45,36,103,54,49,139,71,68,227,167,60,1570,1026,544,99,56,43,1669,1082,587,2019
------,Straftaten insgesamt,3159016,G ttingen,vers.,178,126,52,0,0,0,5,4,1,5,4,1,4,2,2,13,9,4,142,103,39,14,8,6,156,111,45,2019
------,Straftaten insgesamt,3159016,G ttingen,insg.,2316,1500,816,22,9,13,86,49,37,108,58,50,143,73,70,240,176,64,1712,1129,583,113,64,49,1825,1193,632,2019
------,Straftaten insgesamt,5754008,G tersloh,voll.,1173,651,522,11,2,9,56,32,24,67,34,33,86,49,37,92,57,35,875,484,391,53,27,26,928,511,417,2019
------,Straftaten insgesamt,5754008,G tersloh,vers.,82,41,41,1,1,0,6,4,2,7,5,2,8,4,4,8,2,6,57,30,27,2,0,2,59,30,29,2019
------,Straftaten insgesamt,5754008,G tersloh,insg.,1255,692,563,12,3,9,62,36,26,74,39,35,94,53,41,100,59,41,932,514,418,55,27,28,987,541,446,2019
------,Straftaten insgesamt,5914000,Hagen,voll.,2864,1639,1225,27,17,10,195,123,72,222,140,82,253,140,113,259,144,115,1987,1133,854,143,82,61,2130,1215,915,2019
------,Straftaten insgesamt,5914000,Hagen,vers.,149,95,54,1,1,0,7,5,2,8,6,2,9,7,2,9,5,4,116,74,42,7,3,4,123,77,46,2019
------,Straftaten insgesamt,5914000,Hagen,insg.,3013,1734,1279,28,18,10,202,128,74,230,146,84,262,147,115,268,149,119,2103,1207,896,150,85,65,2253,1292,961,2019
------,Straftaten insgesamt,15002000,Halle (Saale),voll.,4648,2840,1808,41,27,14,374,206,168,415,233,182,418,275,143,395,235,160,3188,1967,1221,232,130,102,3420,2097,1323,2019
------,Straftaten insgesamt,15002000,Halle (Saale),vers.,366,252,114,3,2,1,27,18,9,30,20,10,29,16,13,27,21,6,261,184,77,19,11,8,280,195,85,2019
